民國年,月,區代碼,行政區,年齡標籤,年齡下限,年齡上限,青年關係,青年權重,性別,事件,教育程度,婚姻類型,人數
109,,5,新莊區,未滿15歲,0,14,不相關,0.0,女,結婚,博士,不同性別,0
109,,5,新莊區,未滿15歲,0,14,不相關,0.0,女,結婚,博士,相同性別,0
109,,5,新莊區,未滿15歲,0,14,不相關,0.0,女,結婚,國中,不同性別,0
109,,5,新莊區,未滿15歲,0,14,不相關,0.0,女,結婚,國中,相同性別,0
109,,5,新莊區,未滿15歲,0,14,不相關,0.0,女,結婚,國小以下,不同性別,0
109,,5,新莊區,未滿15歲,0,14,不相關,0.0,女,結婚,國小以下,相同性別,0
109,,5,新莊區,未滿15歲,0,14,不相關,0.0,女,結婚,大學,不同性別,0
109,,5,新莊區,未滿15歲,0,14,不相關,0.0,女,結婚,大學,相同性別,0
109,,5,新莊區,未滿15歲,0,14,不相關,0.0,女,結婚,專科,不同性別,0
109,,5,新莊區,未滿15歲,0,14,不相關,0.0,女,結婚,專科,相同性別,0
109,,5,新莊區,未滿15歲,0,14,不相關,0.0,女,結婚,碩士,不同性別,0
109,,5,新莊區,未滿15歲,0,14,不相關,0.0,女,結婚,碩士,相同性別,0
109,,5,新莊區,未滿15歲,0,14,不相關,0.0,女,結婚,高中職,不同性別,0
109,,5,新莊區,未滿15歲,0,14,不相關,0.0,女,結婚,高中職,相同性別,0
109,,5,新莊區,未滿15歲,0,14,不相關,0.0,男,結婚,博士,不同性別,0
109,,5,新莊區,未滿15歲,0,14,不相關,0.0,男,結婚,博士,相同性別,0
109,,5,新莊區,未滿15歲,0,14,不相關,0.0,男,結婚,國中,不同性別,0
109,,5,新莊區,未滿15歲,0,14,不相關,0.0,男,結婚,國中,相同性別,0
109,,5,新莊區,未滿15歲,0,14,不相關,0.0,男,結婚,國小以下,不同性別,0
109,,5,新莊區,未滿15歲,0,14,不相關,0.0,男,結婚,國小以下,相同性別,0
109,,5,新莊區,未滿15歲,0,14,不相關,0.0,男,結婚,大學,不同性別,0
109,,5,新莊區,未滿15歲,0,14,不相關,0.0,男,結婚,大學,相同性別,0
109,,5,新莊區,未滿15歲,0,14,不相關,0.0,男,結婚,專科,不同性別,0
109,,5,新莊區,未滿15歲,0,14,不相關,0.0,男,結婚,專科,相同性別,0
109,,5,新莊區,未滿15歲,0,14,不相關,0.0,男,結婚,碩士,不同性別,0
109,,5,新莊區,未滿15歲,0,14,不相關,0.0,男,結婚,碩士,相同性別,0
109,,5,新莊區,未滿15歲,0,14,不相關,0.0,男,結婚,高中職,不同性別,0
109,,5,新莊區,未滿15歲,0,14,不相關,0.0,男,結婚,高中職,相同性別,0
109,,5,新莊區,15～19歲,15,19,部分重疊,0.4,女,結婚,博士,不同性別,0
109,,5,新莊區,15～19歲,15,19,部分重疊,0.4,女,結婚,博士,相同性別,0
109,,5,新莊區,15～19歲,15,19,部分重疊,0.4,女,結婚,國中,不同性別,15
109,,5,新莊區,15～19歲,15,19,部分重疊,0.4,女,結婚,國中,相同性別,0
109,,5,新莊區,15～19歲,15,19,部分重疊,0.4,女,結婚,國小以下,不同性別,2
109,,5,新莊區,15～19歲,15,19,部分重疊,0.4,女,結婚,國小以下,相同性別,0
109,,5,新莊區,15～19歲,15,19,部分重疊,0.4,女,結婚,大學,不同性別,0
109,,5,新莊區,15～19歲,15,19,部分重疊,0.4,女,結婚,大學,相同性別,0
109,,5,新莊區,15～19歲,15,19,部分重疊,0.4,女,結婚,專科,不同性別,0
109,,5,新莊區,15～19歲,15,19,部分重疊,0.4,女,結婚,專科,相同性別,0
109,,5,新莊區,15～19歲,15,19,部分重疊,0.4,女,結婚,碩士,不同性別,0
109,,5,新莊區,15～19歲,15,19,部分重疊,0.4,女,結婚,碩士,相同性別,0
109,,5,新莊區,15～19歲,15,19,部分重疊,0.4,女,結婚,高中職,不同性別,11
109,,5,新莊區,15～19歲,15,19,部分重疊,0.4,女,結婚,高中職,相同性別,0
109,,5,新莊區,15～19歲,15,19,部分重疊,0.4,男,結婚,博士,不同性別,0
109,,5,新莊區,15～19歲,15,19,部分重疊,0.4,男,結婚,博士,相同性別,0
109,,5,新莊區,15～19歲,15,19,部分重疊,0.4,男,結婚,國中,不同性別,5
109,,5,新莊區,15～19歲,15,19,部分重疊,0.4,男,結婚,國中,相同性別,0
109,,5,新莊區,15～19歲,15,19,部分重疊,0.4,男,結婚,國小以下,不同性別,1
109,,5,新莊區,15～19歲,15,19,部分重疊,0.4,男,結婚,國小以下,相同性別,0
109,,5,新莊區,15～19歲,15,19,部分重疊,0.4,男,結婚,大學,不同性別,0
109,,5,新莊區,15～19歲,15,19,部分重疊,0.4,男,結婚,大學,相同性別,0
109,,5,新莊區,15～19歲,15,19,部分重疊,0.4,男,結婚,專科,不同性別,0
109,,5,新莊區,15～19歲,15,19,部分重疊,0.4,男,結婚,專科,相同性別,0
109,,5,新莊區,15～19歲,15,19,部分重疊,0.4,男,結婚,碩士,不同性別,0
109,,5,新莊區,15～19歲,15,19,部分重疊,0.4,男,結婚,碩士,相同性別,0
109,,5,新莊區,15～19歲,15,19,部分重疊,0.4,男,結婚,高中職,不同性別,0
109,,5,新莊區,15～19歲,15,19,部分重疊,0.4,男,結婚,高中職,相同性別,0
109,,5,新莊區,20～24歲,20,24,完全落入,1.0,女,結婚,博士,不同性別,0
109,,5,新莊區,20～24歲,20,24,完全落入,1.0,女,結婚,博士,相同性別,0
109,,5,新莊區,20～24歲,20,24,完全落入,1.0,女,結婚,國中,不同性別,33
109,,5,新莊區,20～24歲,20,24,完全落入,1.0,女,結婚,國中,相同性別,1
109,,5,新莊區,20～24歲,20,24,完全落入,1.0,女,結婚,國小以下,不同性別,4
109,,5,新莊區,20～24歲,20,24,完全落入,1.0,女,結婚,國小以下,相同性別,0
109,,5,新莊區,20～24歲,20,24,完全落入,1.0,女,結婚,大學,不同性別,48
109,,5,新莊區,20～24歲,20,24,完全落入,1.0,女,結婚,大學,相同性別,0
109,,5,新莊區,20～24歲,20,24,完全落入,1.0,女,結婚,專科,不同性別,14
109,,5,新莊區,20～24歲,20,24,完全落入,1.0,女,結婚,專科,相同性別,0
109,,5,新莊區,20～24歲,20,24,完全落入,1.0,女,結婚,碩士,不同性別,0
109,,5,新莊區,20～24歲,20,24,完全落入,1.0,女,結婚,碩士,相同性別,0
109,,5,新莊區,20～24歲,20,24,完全落入,1.0,女,結婚,高中職,不同性別,132
109,,5,新莊區,20～24歲,20,24,完全落入,1.0,女,結婚,高中職,相同性別,2
109,,5,新莊區,20～24歲,20,24,完全落入,1.0,男,結婚,博士,不同性別,0
109,,5,新莊區,20～24歲,20,24,完全落入,1.0,男,結婚,博士,相同性別,0
109,,5,新莊區,20～24歲,20,24,完全落入,1.0,男,結婚,國中,不同性別,44
109,,5,新莊區,20～24歲,20,24,完全落入,1.0,男,結婚,國中,相同性別,0
109,,5,新莊區,20～24歲,20,24,完全落入,1.0,男,結婚,國小以下,不同性別,0
109,,5,新莊區,20～24歲,20,24,完全落入,1.0,男,結婚,國小以下,相同性別,1
109,,5,新莊區,20～24歲,20,24,完全落入,1.0,男,結婚,大學,不同性別,16
109,,5,新莊區,20～24歲,20,24,完全落入,1.0,男,結婚,大學,相同性別,0
109,,5,新莊區,20～24歲,20,24,完全落入,1.0,男,結婚,專科,不同性別,3
109,,5,新莊區,20～24歲,20,24,完全落入,1.0,男,結婚,專科,相同性別,0
109,,5,新莊區,20～24歲,20,24,完全落入,1.0,男,結婚,碩士,不同性別,0
109,,5,新莊區,20～24歲,20,24,完全落入,1.0,男,結婚,碩士,相同性別,0
109,,5,新莊區,20～24歲,20,24,完全落入,1.0,男,結婚,高中職,不同性別,58
109,,5,新莊區,20～24歲,20,24,完全落入,1.0,男,結婚,高中職,相同性別,2
109,,5,新莊區,25～29歲,25,29,完全落入,1.0,女,結婚,博士,不同性別,1
109,,5,新莊區,25～29歲,25,29,完全落入,1.0,女,結婚,博士,相同性別,0
109,,5,新莊區,25～29歲,25,29,完全落入,1.0,女,結婚,國中,不同性別,48
109,,5,新莊區,25～29歲,25,29,完全落入,1.0,女,結婚,國中,相同性別,0
109,,5,新莊區,25～29歲,25,29,完全落入,1.0,女,結婚,國小以下,不同性別,4
109,,5,新莊區,25～29歲,25,29,完全落入,1.0,女,結婚,國小以下,相同性別,0
109,,5,新莊區,25～29歲,25,29,完全落入,1.0,女,結婚,大學,不同性別,432
109,,5,新莊區,25～29歲,25,29,完全落入,1.0,女,結婚,大學,相同性別,9
109,,5,新莊區,25～29歲,25,29,完全落入,1.0,女,結婚,專科,不同性別,36
109,,5,新莊區,25～29歲,25,29,完全落入,1.0,女,結婚,專科,相同性別,1
109,,5,新莊區,25～29歲,25,29,完全落入,1.0,女,結婚,碩士,不同性別,45
109,,5,新莊區,25～29歲,25,29,完全落入,1.0,女,結婚,碩士,相同性別,2
109,,5,新莊區,25～29歲,25,29,完全落入,1.0,女,結婚,高中職,不同性別,126
109,,5,新莊區,25～29歲,25,29,完全落入,1.0,女,結婚,高中職,相同性別,3
109,,5,新莊區,25～29歲,25,29,完全落入,1.0,男,結婚,博士,不同性別,0
109,,5,新莊區,25～29歲,25,29,完全落入,1.0,男,結婚,博士,相同性別,0
109,,5,新莊區,25～29歲,25,29,完全落入,1.0,男,結婚,國中,不同性別,51
109,,5,新莊區,25～29歲,25,29,完全落入,1.0,男,結婚,國中,相同性別,1
109,,5,新莊區,25～29歲,25,29,完全落入,1.0,男,結婚,國小以下,不同性別,3
109,,5,新莊區,25～29歲,25,29,完全落入,1.0,男,結婚,國小以下,相同性別,0
109,,5,新莊區,25～29歲,25,29,完全落入,1.0,男,結婚,大學,不同性別,241
109,,5,新莊區,25～29歲,25,29,完全落入,1.0,男,結婚,大學,相同性別,3
109,,5,新莊區,25～29歲,25,29,完全落入,1.0,男,結婚,專科,不同性別,19
109,,5,新莊區,25～29歲,25,29,完全落入,1.0,男,結婚,專科,相同性別,0
109,,5,新莊區,25～29歲,25,29,完全落入,1.0,男,結婚,碩士,不同性別,63
109,,5,新莊區,25～29歲,25,29,完全落入,1.0,男,結婚,碩士,相同性別,0
109,,5,新莊區,25～29歲,25,29,完全落入,1.0,男,結婚,高中職,不同性別,137
109,,5,新莊區,25～29歲,25,29,完全落入,1.0,男,結婚,高中職,相同性別,4
109,,5,新莊區,30～34歲,30,34,完全落入,1.0,女,結婚,博士,不同性別,1
109,,5,新莊區,30～34歲,30,34,完全落入,1.0,女,結婚,博士,相同性別,0
109,,5,新莊區,30～34歲,30,34,完全落入,1.0,女,結婚,國中,不同性別,39
109,,5,新莊區,30～34歲,30,34,完全落入,1.0,女,結婚,國中,相同性別,2
109,,5,新莊區,30～34歲,30,34,完全落入,1.0,女,結婚,國小以下,不同性別,6
109,,5,新莊區,30～34歲,30,34,完全落入,1.0,女,結婚,國小以下,相同性別,0
109,,5,新莊區,30～34歲,30,34,完全落入,1.0,女,結婚,大學,不同性別,456
109,,5,新莊區,30～34歲,30,34,完全落入,1.0,女,結婚,大學,相同性別,7
109,,5,新莊區,30～34歲,30,34,完全落入,1.0,女,結婚,專科,不同性別,20
109,,5,新莊區,30～34歲,30,34,完全落入,1.0,女,結婚,專科,相同性別,1
109,,5,新莊區,30～34歲,30,34,完全落入,1.0,女,結婚,碩士,不同性別,92
